Date,S&P 500,VIX,Leverage Subindex,Bank Tightening Standards
1995-01-31,465.25,12.274285714285714,0.18025,
1995-02-28,481.92473722759047,11.47,0.08625000000000001,
1995-03-31,493.1530469811481,12.166521739130435,0.014199999999999999,
1995-04-30,507.9057906301398,12.442631578947369,-0.06766666666666667,
1995-05-31,523.8136402476918,12.265909090909092,-0.131,
1995-06-30,539.3540843616832,11.896818181818183,-0.1416,
1995-07-31,557.3664978027343,12.514,-0.14725,
1995-08-31,559.1100012737771,12.798260869565217,-0.2615,
1995-09-30,578.765493774414,12.057,-0.45920000000000005,
1995-10-31,582.9181823730469,14.357272727272727,-0.5682499999999999,
1995-11-30,595.5323806036087,12.46904761904762,-0.57275,
1995-12-31,614.5709991455078,11.7485,-0.5826,
1996-01-31,614.4200051047585,13.473636363636365,-0.66425,
1996-02-29,649.5420043945312,15.032999999999998,-0.76125,
1996-03-31,647.0747593470982,17.76238095238095,-0.7548,
1996-04-30,647.1728544689361,16.575238095238095,-0.6013333333333333,1.8
1996-05-31,661.2304548783736,16.14636363636364,-0.4788,1.8
1996-06-30,668.4989929199219,16.395,-0.4315,1.8
1996-07-31,644.0704539905895,17.978636363636365,-0.487,-1.8
1996-08-31,662.6822787198154,15.760454545454547,-0.6052,-1.8
1996-09-30,674.885498046875,16.578,-0.7125,-1.8
1996-10-31,701.4556539784307,16.38173913043478,-0.82775,-12.3
1996-11-30,735.6690063476562,15.997,-0.9558,-12.3
1996-12-31,743.249040876116,19.260952380952382,-0.99525,-12.3
1997-01-31,766.216816295277,19.473333333333333,-1.0422,-12.3
1997-02-28,798.3842163085938,20.139473684210525,-1.17125,-12.3
1997-03-31,792.1555023193359,20.169999999999998,-1.22,-12.3
1997-04-30,763.9281865900213,19.662272727272725,-1.1452499999999999,-3.5
1997-05-31,833.0914306640625,19.924761904761905,-1.0702,-3.5
1997-06-30,876.2861909412202,20.194285714285712,-1.0379999999999998,-3.5
1997-07-31,925.2945445667614,20.529090909090908,-0.9916666666666666,-2.0
1997-08-31,927.7357119605655,23.084761904761905,-0.9924,-2.0
1997-09-30,937.0242861793155,23.812380952380952,-1.06225,-2.0
1997-10-31,951.1595618206521,23.87086956521739,-1.1118000000000001,-3.5
1997-11-30,938.9236899928043,32.20611111111111,-1.09325,-3.5
1997-12-31,962.3654563210227,26.276363636363637,-1.04,-3.5
1998-01-31,963.3590026855469,23.8665,-0.976,-3.5
1998-02-28,1023.7421136153372,19.998947368421053,-1.006,-3.5
1998-03-31,1076.8277310458097,20.158636363636365,-1.08425,-3.5
1998-04-30,1112.1961960565477,22.02857142857143,-1.0673333333333332,-1.8
1998-05-31,1108.4169982910157,20.874000000000002,-0.9516,-1.8
1998-06-30,1108.389531915838,21.66272727272727,-0.81875,-1.8
1998-07-31,1156.5772705078125,19.930000000000003,-0.51425,-5.3
1998-08-31,1074.6204717726935,31.58809523809524,-0.10675,-5.3
1998-09-30,1020.6400001162574,38.2047619047619,0.198,-5.3
1998-10-31,1032.470009543679,36.60818181818182,0.281,14.8
1998-11-30,1144.4334838867187,26.223000000000003,0.36475,14.8
1998-12-31,1190.0509033203125,25.479090909090907,0.5463333333333333,14.8
1999-01-31,1248.7747353001644,28.035263157894736,0.744,14.8
1999-02-28,1246.5821147717927,28.82263157894737,0.637,14.8
1999-03-31,1281.663913892663,25.309565217391306,0.41575,14.8
1999-04-30,1334.7566615513392,23.478571428571428,0.264,8.3
1999-05-31,1332.0740112304688,26.204500000000003,0.31174999999999997,8.3
1999-06-30,1322.552734375,23.626363636363635,0.44075,8.3
1999-07-31,1380.990001860119,21.04904761904762,0.6308,1.9
1999-08-31,1327.488653009588,24.323636363636364,0.87425,1.9
1999-09-30,1318.1719040643602,24.541428571428572,1.01525,1.9
1999-10-31,1300.010009765625,24.021428571428572,0.943,1.9
1999-11-30,1391.0028483072917,21.81809523809524,0.8975,1.9
1999-12-31,1428.6840931285512,22.15909090909091,1.087,1.9
2000-01-31,1425.5855041503905,23.202,1.31125,1.9
2000-02-29,1388.8744995117188,23.5955,1.3455,1.9
2000-03-31,1442.212598717731,22.718260869565217,1.1766,1.9
2000-04-30,1461.3552567331415,27.164210526315788,0.882,1.9
2000-05-31,1418.4795476740057,26.37318181818182,0.5952500000000001,1.9
2000-06-30,1461.9590897993608,21.54,0.347,1.9
2000-07-31,1473.0024963378905,19.893,0.05424999999999999,1.9
2000-08-31,1485.45825726053,18.088695652173914,-0.29125,1.9
2000-09-30,1468.05400390625,19.6875,-0.6092000000000001,1.9
2000-10-31,1390.144092906605,25.2,-0.80775,1.9
2000-11-30,1375.0376034691221,26.38285714285714,-1.05075,1.9
2000-12-31,1330.9294982910155,26.5305,-1.4874,1.9
2001-01-31,1335.6390555245537,24.918571428571425,-1.84025,1.9
2001-02-28,1305.7515804893092,23.411578947368422,-1.9585,1.9
2001-03-31,1185.850008877841,28.49681818181818,-1.9804000000000002,1.9
2001-04-30,1189.8369995117187,28.133999999999997,-1.9596666666666664,1.9
2001-05-31,1270.3686356977983,22.944090909090907,-1.95275,1.9
2001-06-30,1238.7104666573662,20.94047619047619,-1.9866,1.9
2001-07-31,1204.4495210193452,22.316190476190474,-1.979,1.9
2001-08-31,1178.5039274796195,21.86173913043478,-1.8690000000000002,1.9
2001-09-30,1044.643994140625,35.065333333333335,-1.749666666666667,1.9
2001-10-31,1076.5904381793478,32.72130434782609,-1.699,40.4
2001-11-30,1129.6833321707588,26.63095238095238,-1.6128,40.4
2001-12-31,1144.9300109863282,23.72,-1.4515,40.4
2002-01-31,1140.2076241629463,22.252857142857142,-1.27775,40.4
2002-02-28,1100.6689388877467,22.87578947368421,-1.156,40.4
2002-03-31,1153.7910034179688,18.985,-1.1705,40.4
2002-04-30,1112.034540349787,19.900454545454547,-1.2925,14.5
2002-05-31,1079.2672784978693,20.087727272727275,-1.3434000000000001,14.5
2002-06-30,1014.0480072021485,25.271,-1.3615,14.5
2002-07-31,903.5854575417259,34.04954545454546,-1.3719999999999999,5.5
2002-08-31,912.5522738370029,33.74272727272727,-1.3052,5.5
2002-09-30,867.8120056152344,37.6475,-1.1492499999999999,5.5
2002-10-31,854.6313078507134,35.24304347826087,-1.0194999999999999,18.2
2002-11-30,909.9270050048829,28.175,-0.8704000000000001,18.2
